,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rawannawi,,,,,,,KI,
1,byron bay,-28.65,153.6167,60.8,94.0,75.0,4.61,AU,1619619164.0
2,taolanaro,,,,,,,MG,
3,puerto ayora,-0.7393,-90.3518,78.8,83.0,40.0,11.5,EC,1619618836.0
4,bambous virieux,-20.3428,57.7575,75.99,94.0,75.0,12.66,MU,1619619164.0
5,san cristobal,-0.9045,-89.6174,76.17,89.0,64.0,10.11,EC,1619619164.0
6,mehamn,71.0357,27.8492,28.4,74.0,75.0,9.22,NO,1619618832.0
7,tiksi,71.6872,128.8694,26.2,91.0,93.0,9.78,RU,1619619164.0
8,belushya guba,,,,,,,RU,
9,castro,-42.4721,-73.7732,54.0,100.0,90.0,3.44,CL,1619619165.0
10,tulum,20.2167,-87.4667,84.2,65.0,20.0,10.36,MX,1619619165.0
11,raudeberg,61.9875,5.1352,46.0,63.0,12.0,22.93,NO,1619619165.0
12,bethel,41.3712,-73.414,64.4,45.0,1.0,3.13,US,1619618829.0
13,ushuaia,-54.8,-68.3,41.0,81.0,40.0,2.3,AR,1619618831.0
14,longyearbyen,78.2186,15.6401,21.2,53.0,40.0,8.05,SJ,1619619165.0
15,waipawa,-41.4122,175.5153,50.0,81.0,6.0,9.22,NZ,1619619165.0
16,beringovskiy,63.05,179.3167,17.73,90.0,9.0,6.69,RU,1619619166.0
17,havoysund,70.9963,24.6622,28.4,74.0,75.0,9.22,NO,1619619166.0
18,busselton,-33.65,115.3333,64.0,92.0,100.0,5.68,AU,1619618835.0
19,cherskiy,68.75,161.3,16.41,91.0,100.0,7.07,RU,1619619166.0
20,jawhar,2.7809,45.5005,90.61,46.0,51.0,20.04,SO,1619619166.0
21,kununurra,-15.7667,128.7333,82.4,78.0,75.0,10.47,AU,1619619166.0
22,rikitea,-23.1203,-134.9692,75.52,75.0,9.0,6.76,PF,1619618828.0
23,mataura,,,,,,,PF,
